storeId,brandId,sectionId,productId
6393,5,3,1
11161,5,3,3
159,2,1,1
1800,5,3,1
4565,2,1,1
2897,5,2,2
10221,5,3,1
9525,5,1,2
542,5,3,3
11355,3,1,1
3660,5,3,2
10616,5,1,1
7290,5,3,1
5482,3,2,1
580,2,3,3
8411,5,3,3
4448,1,1,1
9639,5,3,3
9302,2,3,2
2675,5,3,1
3800,3,2,1
5882,2,3,1
3479,4,1,1
2729,5,3,2
11082,2,1,1
9701,2,1,1
11162,1,1,1
5729,5,2,1
6135,2,1,1
8792,1,3,2
2949,2,1,1
3121,2,3,1
8163,5,2,1
7871,1,2,1
1534,2,3,2
8904,5,3,1
9681,3,2,1
3409,2,3,3
9123,1,3,1
4581,2,1,1
296,5,3,1
826,1,1,1
8017,3,2,3
2123,3,2,1
9850,5,2,2
6903,2,3,2
9309,3,2,1
6360,2,3,3
5036,3,2,1
7480,5,2,1
1637,1,1,1
8099,5,3,1
6443,2,1,1
2095,5,1,1
714,5,3,2
3281,1,1,1
7891,5,3,2
35,3,2,1
5251,5,1,1
11313,5,2,1
8293,5,1,3
2658,5,1,1
2171,5,2,3
2863,2,1,1
8166,1,2,1
472,2,1,1
5375,5,2,2
8145,2,1,1
3861,3,2,1
3133,5,3,3
550,5,2,3
8844,5,1,2
10068,2,1,1
5032,5,3,1
7186,2,3,1
3288,2,3,1
3393,5,3,2
10461,5,3,3
7825,1,1,1
28,5,3,3
7487,3,2,3
1166,2,3,3
4652,5,1,1
2962,5,3,3
9585,1,3,3
4062,5,3,1
5604,2,3,3
1821,2,1,1
5729,5,3,2
9565,2,1,1
4573,5,2,3
3840,5,3,3
2375,5,2,1
4357,2,1,1
4040,2,1,2
3364,3,2,3
6970,5,3,2
8095,2,1,1
1146,5,3,3
1353,1,2,2
5773,1,2,3
5293,1,2,3
6587,5,3,2
258,2,1,3
6152,5,3,2
3168,1,2,1
8755,3,2,3
2758,2,3,3
8225,5,1,1
3435,1,2,1
8205,3,2,3
6626,5,3,2
9148,5,3,1
8478,3,2,3
3321,5,1,1
4230,5,3,2
820,3,2,1
228,5,2,3
10115,2,3,1
9423,2,1,1
3164,2,1,1
3702,2,3,1
9461,2,1,1
2804,5,3,2
3351,5,3,1
2367,5,3,3
8158,5,3,3
3022,1,1,1
10488,5,3,3
6211,1,1,1
10901,5,3,3
10410,2,3,2
8145,2,1,1
3946,2,3,3
332,5,1,1
503,3,2,1
2479,5,3,1
8788,5,2,3
6669,2,1,1
953,3,2,3
6264,5,3,1
10170,1,3,1
6393,5,1,1
10181,2,3,3
6708,5,3,1
7051,1,1,1
10984,3,2,1
9470,5,3,2
8200,5,2,3
3905,5,3,3
3391,2,3,3
2620,3,2,3
7384,5,3,1
1821,2,3,1
9812,3,2,1
10849,5,3,2
6813,3,1,1
6987,2,1,1
6768,2,3,3
5838,5,3,1
7645,5,2,1
3456,5,2,2
3273,1,1,1
